diag;niv;libell
A000;2;Choléra à Vibrio cholerae 01, biovar cholerae                                                                                                                                                                                                                                                               
A001;2;Choléra à Vibrio cholerae 01, biovar El Tor                                                                                                                                                                                                                                                                 
A009;2;Choléra, sans précision                                                                                                                                                                                                                                                                                     
A010;2;Fièvre typhoïde                                                                                                                                                                                                                                                                                             
A011;2;Paratyphoïde A                                                                                                                                                                                                                                                                                              
A012;2;Paratyphoïde B                                                                                                                                                                                                                                                                                              
A013;2;Paratyphoïde C                                                                                                                                                                                                                                                                                              
A014;2;Paratyphoïde, sans précision                                                                                                                                                                                                                                                                                
A020;2;Entérite à Salmonella                                                                                                                                                                                                                                                                                       
A021;3;Sepsis à Salmonella                                                                                                                                                                                                                                                                                         
A022;2;Infection localisée à Salmonella                                                                                                                                                                                                                                                                            
A028;2;Autres infections précisées à Salmonella                                                                                                                                                                                                                                                                    
A029;2;Salmonellose, sans précision                                                                                                                                                                                                                                                                                
A030;2;Shigellose à Shigella dysenteriae                                                                                                                                                                                                                                                                           
A031;2;Shigellose à Shigella flexneri                                                                                                                                                                                                                                                                              
A032;2;Shigellose à Shigella boydii                                                                                                                                                                                                                                                                                
A033;2;Shigellose à Shigella sonnei                                                                                                                                                                                                                                                                                
A038;2;Autres shigelloses                                                                                                                                                                                                                                                                                          
A039;2;Shigellose, sans précision                                                                                                                                                                                                                                                                                  
A040;2;Infection entéropathogène à Escherichia coli                                                                                                                                                                                                                                                                
A041;2;Infection entérotoxigène à Escherichia coli                                                                                                                                                                                                                                                                 
A042;2;Infection entéro-invasive à Escherichia coli                                                                                                                                                                                                                                                                
A043;2;Infection entéro-hémorragique à Escherichia coli                                                                                                                                                                                                                                                            
A044;2;Autres infections intestinales à Escherichia coli                                                                                                                                                                                                                                                           
A045;2;Entérite à Campylobacter                                                                                                                                                                                                                                                                                    
A046;2;Entérite à Yersinia enterocolitica                                                                                                                                                                                                                                                                          
A047;4;Entérocolite à Clostridium difficile                                                                                                                                                                                                                                                                        
A051;4;Botulisme                                                                                                                                                                                                                                                                                                   
A052;3;Intoxication alimentaire à Clostridium perfringens [Clostridium welchii]                                                                                                                                                                                                                                    
A060;2;Dysenterie amibienne (aiguë)                                                                                                                                                                                                                                                                                
A061;2;Amibiase intestinale chronique                                                                                                                                                                                                                                                                              
A062;2;Colite amibienne non dysentérique                                                                                                                                                                                                                                                                           
A063;2;Amoebome (de l'intestin)                                                                                                                                                                                                                                                                                    
A064;2;Abcès amibien du foie                                                                                                                                                                                                                                                                                       
A065;2;Abcès amibien du poumon                                                                                                                                                                                                                                                                                     
A066;4;Abcès amibien du cerveau (G07*)                                                                                                                                                                                                                                                                             
A067;2;Amibiase cutanée                                                                                                                                                                                                                                                                                            
A068;2;Autres localisations d'une infection amibienne                                                                                                                                                                                                                                                              
A069;2;Amibiase, sans précision                                                                                                                                                                                                                                                                                    
A070;2;Balantidiose                                                                                                                                                                                                                                                                                                
A071;2;Giardiase [lambliase]                                                                                                                                                                                                                                                                                       
A072;2;Cryptosporidiose                                                                                                                                                                                                                                                                                            
A073;2;Infection à Isospora                                                                                                                                                                                                                                                                                        
A078;2;Autres maladies intestinales précisées, à protozoaires                                                                                                                                                                                                                                                      
A079;2;Maladie intestinale à protozoaires, sans précision                                                                                                                                                                                                                                                          
A080;2;Entérite à rotavirus                                                                                                                                                                                                                                                                                        
A081;2;Gastroentéropathie aigüe due à un norovirus                                                                                                                                                                                                                                                                 
A082;2;Entérite à adénovirus                                                                                                                                                                                                                                                                                       
A083;2;Autres entérites virales                                                                                                                                                                                                                                                                                    
A085;2;Autres infections intestinales précisées                                                                                                                                                                                                                                                                    
A090;2;Gastroentérites et colites d'origine infectieuse, autres et non précisées                                                                                                                                                                                                                                   
A150;4;Tuberculose pulmonaire, confirmée par examen microscopique de l'expectoration, avec ou sans culture                                                                                                                                                                                                         
